name,point_group
N10_neutral_neutral_001,C2
N10_neutral_neutral_002,C1
N10_neutral_neutral_003,C1
N10_neutral_neutral_004,C1
N10_neutral_neutral_005,C1
N10_neutral_neutral_006,Cs
N10_neutral_neutral_007,Cs
N10_neutral_neutral_010,C1
N10_neutral_neutral_011,C1
N10_neutral_neutral_014,C1
N10_neutral_neutral_015,C2
N10_neutral_neutral_016,C1
N10_neutral_neutral_017,C2v
N10_neutral_neutral_018,C2
N10_neutral_neutral_019,C3v
N10_neutral_neutral_020,C2
N10_neutral_neutral_021,C2v
N10_neutral_neutral_022,D5h
N11_anion_anion_006,C1
N11_anion_anion_007,Cs
N11_anion_anion_008,C1
N11_anion_anion_011,C1
N11_anion_anion_013,C1
N11_anion_anion_017,C1
N11_anion_anion_018,C1
N11_cation_cation_001,C2v
N11_cation_cation_006,C1
N12_cation_cation_001,C1
N12_neutral_neutral_001,C1
N12_neutral_neutral_002,C1
N12_neutral_neutral_003,C1
N12_neutral_neutral_004,Cs
N12_neutral_neutral_006,C1
N12_neutral_neutral_007,D3d
N12_neutral_neutral_008,C1
N12_neutral_neutral_009,D6h
N13_anion_anion_001,C1
N13_cation_cation_001,C1
N13_cation_cation_004,C1
N14_neutral_neutral_005,C2
N15_cation_cation_001,C1
N15_cation_cation_002,C1
N4_neutral_neutral_001,Td
N4_neutral_neutral_004,D2h
N5_anion_anion_001,D5h
N5_anion_anion_002,C1
N5_anion_anion_003,C1
N5_anion_anion_004,C1
N5_anion_anion_005,C1
N5_anion_anion_007,C1
N5_anion_anion_008,C1
N5_anion_anion_010,C2v
N5_cation_cation_001,C2v
N5_cation_cation_002,Cs
N5_cation_cation_004,C1
N5_cation_cation_005,D2d
N5_cation_cation_006,C4v
N6_neutral_neutral_001,C2
N6_neutral_neutral_002,D2
N6_neutral_neutral_003,C1
N6_neutral_neutral_006,C1
N6_neutral_neutral_007,C2
N6_neutral_neutral_008,C2v
N6_neutral_neutral_009,C2
N6_neutral_neutral_012,D3h
N7_anion_anion_008,C1
N7_anion_anion_010,C2v
N7_anion_anion_011,C1
N7_anion_anion_012,C1
N7_anion_anion_019,C1
N7_cation_cation_001,Cs
N9_anion_anion_001,C1
N9_cation_cation_001,C1
