name,n_cycles
N10_neutral_neutral_008,50
N10_neutral_neutral_009,50
N10_neutral_neutral_012,50
N11_anion_anion_009,50
N11_anion_anion_012,50
N11_anion_anion_014,50
N11_anion_anion_015,50
N11_anion_anion_016,50
N11_cation_cation_003,50
N11_cation_cation_008,50
N13_anion_anion_002,50
N13_anion_anion_003,50
N13_anion_anion_004,50
N13_cation_cation_002,50
N13_cation_cation_003,50
N6_neutral_neutral_011,50
N7_anion_anion_006,50
N7_anion_anion_015,50
N7_cation_cation_002,50
N7_cation_cation_004,50
N8_neutral_neutral_011,50
N8_neutral_neutral_015,50
N8_neutral_neutral_017,50
N9_anion_anion_002,50
N9_anion_anion_007,50
N9_anion_anion_009,50
N9_anion_anion_014,50
N9_anion_anion_017,50
N9_anion_anion_020,50
N9_cation_cation_002,50
N9_cation_cation_003,50
N9_cation_cation_004,50
N9_cation_cation_005,50
N9_cation_cation_007,50
N9_cation_cation_010,50
